Date,USD Exchange Rate
2017/03/30,57.0241
2017/03/31,56.3779
2017/04/01,55.9606
2017/04/04,56.1396
2017/04/05,56.5553
2017/04/06,55.894
2017/04/07,56.4369
2017/04/08,56.9201
2017/04/11,57.3896
2017/04/12,56.9552
2017/04/13,56.7556
2017/04/14,56.6019
2017/04/15,56.2945
2017/04/18,56.2505
2017/04/19,55.9793
2017/04/20,56.1753
2017/04/21,56.4165
2017/04/22,56.2307
2017/04/25,56.0794
2017/04/26,55.8453
2017/04/27,56.3131
2017/04/28,56.9707
2017/04/29,56.9838
2017/05/03,56.9518
2017/05/04,57.0927
2017/05/05,57.5714
2017/05/06,58.5382
2017/05/11,58.0824
2017/05/12,57.1161
2017/05/13,57.164
2017/05/16,56.5258
2017/05/17,56.2603
2017/05/18,56.7383
2017/05/19,57.4683
2017/05/20,57.1602
2017/05/23,56.4988
2017/05/24,56.5552
2017/05/25,56.2743
2017/05/26,56.0701
2017/05/27,56.756
2017/05/30,56.7106
2017/05/31,56.5168
2017/06/01,56.6876
2017/06/02,56.5373
2017/06/03,56.6876
2017/06/06,56.6152
2017/06/07,56.6747
2017/06/08,56.5878
2017/06/09,56.9857
2017/06/10,57.002
2017/06/14,56.9096
2017/06/15,57.0303
2017/06/16,57.4437
2017/06/17,57.7408
2017/06/20,57.9585
2017/06/21,58.5786
2017/06/22,60
2017/06/23,60.1482
2017/06/24,59.6564
2017/06/27,59.0014
2017/06/28,58.8843
2017/06/29,59.5415
2017/06/30,59.0855
2017/07/01,59.3862
2017/07/04,58.9695
2017/07/05,59.2295
2017/07/06,59.5787
2017/07/07,60.2426
2017/07/08,60.3792
2017/07/11,60.3014
2017/07/12,60.7397
2017/07/13,60.6227
2017/07/14,60.1836
2017/07/15,59.8806
2017/07/18,59.0657
2017/07/19,59.3705
2017/07/20,59.2418
2017/07/21,59.0823
2017/07/22,58.9325
2017/07/25,59.6572
2017/07/26,59.8185
2017/07/27,59.9102
2017/07/28,59.4102
2017/07/29,59.5436
2017/08/01,60.0633
2017/08/02,59.8454
2017/08/03,60.5819
2017/08/04,60.7503
2017/08/05,60.3281
2017/08/08,60.0605
2017/08/09,59.9886
2017/08/10,59.9611
2017/08/11,59.9298
2017/08/12,60.1873
2017/08/15,59.799
2017/08/16,59.9266
2017/08/17,59.6521
2017/08/18,59.249
2017/08/19,59.3612
2017/08/22,59.1409
2017/08/23,59.0396
2017/08/24,59.1312
2017/08/25,59.1397
2017/08/26,59.1476
2017/08/29,58.5469
2017/08/30,58.532
2017/08/31,58.7306
2017/09/01,58.5454
2017/09/02,58.0557
